Accuracy (%)
75.0
80.0
85.0
60.0
70.0
85.0

100.0
100.0
85.71
100.0
66.67
0
100.0
100.0
80.0
20.0
66.67
90.0
80.0
75.0
50.0
0.0
83.33
80.0
75.0
100.0
33.33
0
0
100.0
0
33.33
60.0
54.55
