Accuracy (%)
66.67
77.78
90
100

73.33
50.0
16.67
60.0
0
0
0
100.0
0
0
0
25.0
58.33
61.54
61.11
66.67
47.37
70.0
50.0
0.0
80.0
0.0
0.0
0.0
33.33
0.0
0.0
0.0
0.0
0.0
0.0
66.67
91.67
83.33
0.0
0.0
0.0
25.0
0.0
63.64
